1Mth/Min / Ethann Néon / Belgium / 2021 / 3:45;1Мес/Мин;
3 geNarrations / Paulina Ziółkowska / Poland / 2021 / 8:30;3 генаррации;
A White-White Day / Vasily Chirkov / Russian Federation / 2022 / 6:04;Белый-белый день;
Absence / Marc Héricher / France / 2021 / 10:00;Отсутствие;
Bestia / Hugo Covarrubias / Chile / 2021 / 15:00;Зверь;
Bonefire in the Reserve / Katya Miloslavskaya / Russian Federation / 2022 / 6:14;Костёр в заповеднике;
Camille / Eric Ledune / Belgium / 2022 / 18:00;Камилла;
Colony / Pilar Garcia-Fernandezsesma / United States / 2022 / 13:22;Колония;
Cucumbers / Leonid Shmelkov / Russian Federation / 2021 / 15:43;Огурцы;
Ding (Thing) / Malte Stein / Germany / 2021 / 4:32;Вещь;
Good Placement of Seeds / Xi Chen / China / 2021 / 4:27;Хорошее размещение семян;
Grid / Alexandre Alagôa / Portugal / 2021 / 14:00;Сетка;
Iizuna Fair / Sumito Sakakibara / Japan / 2021 / 11:32;Ярмарка Иизуна;
Intermission / Réka Bucsi / Hungary / 2022 / 4:50;Антракт;
Loop / Pablo Polledri / Spain / 2021 / 8:00;Петля;
Menagerie / Jack Gray / United States / 2022 / 4:25;Зверинец;
My Father's Damn Camera! / Milos Tomic / Slovenia / 2021 / 6:40;Папин чёртов фотоаппарат!;
My Friend Tiger / Tatiana Kiseleva / Russian Federation / 2021 / 7:06;Мой друг Тигр;
My Tiger / Jean-Jean Arnoux / France / 2022 / 14:10;Мой тигр;
Naughty / Flora Molinié, Emma Degoutte / France / 2021 / 14:15;Непослушный;
Noir-Soleil / Marie Larrivé / France / 2021 / 20:00;Черное солнце;
Not My Bread / Andrei Bakhurin / Russian Federation / 2022 / 7:11;Чужой хлеб;
Oneluv / Varya Yakovleva / Russian Federation / 2022 / 10:35;Ванлав;
Passenger / Juan Pablo Zaramella / Argentina / 2022 / 10:00;Пассажир;
Piece of Art / Erik Verkerk, Joost van den Bosch / Netherlands / 2021 / 2:15;Произведение искусства;
Polar Bear Bears Boredom / Koji Yamamura / Japan / 2021 / 7:00;Полярный медведь скучает;
Promised Land / Andrea Pierri / Italy / 2021 / 8:41;Земля обетованная;
Reparations / Wilson Andres Borja / Colombia / 2022 / 8:24;Репарации;
Something in the Garden / Marcos Sánchez / Chile / 2021 / 6:00;Нечто в саду;
Swallow the Universe / Nieto / France / 2021 / 12:00;Проглотить Вселенную;
The 2 Shoes / Paul Driessen / France / 2020 / 6:40;Два башмака;
The Boob Fairy / Léahn Vivier-Chapas / France / 2021 / 13:00;Фея сисек;
The Days That (Never) Were / Pedro Rivero, Kevin Iglesias Rodríguez / Spain / 2022 / 11:00;Дни, которых (не) было;
The Debutante / Elizabeth Hobbs / United Kingdom / 2022 / 8:07;Дебютантка;
The Invention of Less / Noah Erni / Switzerland / 2021 / 3:03;Изобретение меньшего;
The Night Watch / Julien Regnard / Belgium / 2020 / 12:00;Ночной дозор;
The Sausage Run / Thomas Stellmach / Germany / 2021 / 9:45;Колбасный бег;
Tio / Juan Medina / Mexico / 2021 / 12:40;Тио;
Where the Winds Die / Pejman Alipour / Iran / 2021 / 12:54;Где умирают ветры;
A Bite of Bone / Honami Yano / Japan / 2021 / 9:45;Кусочек косточки;
A Dog Under Bridge / Tang Rehoo / China / 2022 / 12:44;Пёс под мостом;
Alternate Mesozoic / Swann Boby, Lucie Laudrin, Marion Métivier, Léna Miguet, Sixtine Sanrame, Marie Schaeffer / France / 2021 / 5:26;Альтернативный мезозой;
Animal Locomotion / Asa Rikin, Noga Sirota / Israel / 2021 / 7:16;Передвижение животных;
Black Slide / Uri Lotan / Israel / 2021 / 11:12;Чёрная труба;
BusLine35A / Elena Felici / Denmark / 2021 / 5:50;Маршрут35А;
Butterfly Jam / Shih-Yen Huang / Taiwan / 2021 / 6:19;Джем из бабочек;
Channidae / Pauline Morel / Belgium / 2021 / 7:00;Змееголовые;
Ciervo / Pilar Garcia-Fernandezsesma / United States / 2020 / 10:15;Олень;
Cufufu / Bruno Quast / Estonia / 2021 / 6:28;Куфуфу;
Destiny / Minori Matsuoka / Japan / 2021 / 7:15;Судьба;
Downfall / Rona Fayad / Lebanon / 2021 / 3:28;Падение;
Drunk / Nikita Meshcheryakov / Russian Federation / 2022 / 3:46;Пьяный;
Eating in the Dark / Inari Sirola / United Kingdom / 2021 / 9:05;Еда в темноте;
Elephant in Castle / Florence Yuk Ki Lee / Hong Kong / 2021 / 4:46;Слон в замке;
Eyes and Horns / Chaerin Im / South Korea / 2021 / 6:15;Глаза и рога;
Girl in the Water / Shi-Rou Huang / Taiwan / 2021 / 7:20;Девушка в воде;
Gonzo / Masha Stepunina / Russian Federation / 2020 / 5:00;Гонзо;
Good Night Mr Ted / Nicolás Sole Allignani / Argentina / 2021 / 10:45;Спокойной ночи, мистер Тед;
Goodbye Jérôme! / Gabrielle Selnet, Adam Sillard, Chloé Farr / France / 2021 / 7:44;Прощай, Жером!;
Green / Karolina Kajetanowicz / Poland / 2021 / 8:15;Зелень;
Here Was Mykh / Polina Chuykova, Daria Baranova, Olga Ivanenko / Russian Federation / 2021 / 5:06;Здесь был Мых;
Homebird / Ewa Smyk / United Kingdom / 2021 / 9:55;Домашняя птаха;
I Want to Be Bored / Magda Kreps / Germany / 2021 / 4:00;Я хочу заскучать;
In Case the Body Exults / Florian Genthial / France / 2021 / 7:00;На случай, если тело ликует;
In His Mercy / Christoph Büttner / Germany / 2022 / 11:55;В его милости;
In the Upper Room / Alexander Gratzer / Austria / 2022 / 8:09;В верхней комнате;
Letter to a Pig / Tal Kantor / France / 2022 / 16:40;Письмо свинье;
Louise / Constance Bertoux, Camille Bozec, Pauline Guitton, Pauline Mauviere, Mila Monaghan / France / 2021 / 6:16;Луиза;
Love, Dad / Diana Cam Van Nguyen / Czech Republic / 2021 / 12:00;Люблю тебя, папа;
Mom / Kajika Aki Ferrazzini / France / 2020 / 9:17;Мама;
Mom, What’s Up With the Dog? / Lola Lefevre / France / 2021 / 7:09;Мама, что случилось с собакой?;
Mr. Pete & the Iron Horse / Kilian Vilim / Switzerland / 2021 / 7:35;Мистер Пит и Железный конь;
Night / Ahmad Saleh / Palestine / 2021 / 15:57;Ночь;
Not For Me / Ivan Bondarenko / Russian Federation / 2022 / 8:06;Не для меня;
Oh, Whose is the Rye / Anna Shveigolz / Russian Federation / 2022 / 6:14;Ой чие ж то жито;
Pests / Juliette Laboria / France / 2021 / 6:30;Вредители;
Pudelko / Anastasiya Lisovets / Russian Federation / 2022 / 3:54;Пуделко;
Red Giant / Anne Verbeure / Belgium / 2021 / 10:14;Красный гигант;
Resting Fog / Nikolett Fábián / Hungary / 2022 / 5:12;Отдыхающий туман;
Rites of Spring / Yiorgos Tsangaris / Cyprus / 2021 / 4:31;Обряды весны;
Roach / Agustín Touriño / Argentina / 2020 / 13:20;Таракан;
Run for Life / Yi-Xiang Lin, Bo-Yi Wu / Taiwan / 2021 / 3:30;Бегом за жизнью;
Stinky in the Dark Forest / Sunčana Brkulj / Croatia / 2022 / 10:52;Вонючка в темном лесу;
Sweet Nothing / Joana Fischer, Marie Kenov / Switzerland / 2021 / 4:01;Нежность;
Tales of the Salt Water / Tamerlan Bekmurzayev, Antoine Carre, Rodrigo Goulao de Sousa, Alexandra Petit, Martin Robic / France / 2021 / 8:31;Летопись солёных вод;
The Ant March / Fedor Yudin / Russian Federation / 2022 / 5:22;Муравьиный марш;
The Bird a Nest / Anu Kadri Kadri Uustalu / Estonia / 2021 / 5:15;Птичье гнездо;
The Child and the Goose / Jade Chastan, Alice Failla, Justine Hermetz, Sophie Lafleur, Vincent Lenne, Jérôme Ginesta / France / 2021 / 7:52;Ребенок и гусь;
The Fourth Wall / Mahboobeh Kalaee / Iran / 2021 / 9:50;Четвёртая стена;
The Law of the Jungle Gym / Yoon Hei Cho / United States / 2022 / 6:02;Закон гимназических джунглей;
The Pattern / Péter Bogyó / Hungary / 2022 / 13:37;Шаблон;
The Poetry of Non-Self / Dor Bar Shlomo / Israel / 2021 / 4:50;"Поэзия ""Не-Я""";
The Seine's Tears / Yanis Belaid, Eliott Benard, Nicolas Mayeur, Etienne Moulin, Hadrien Pinot, Lisa Vicente, Philippine Singer, Alice Letailleur / France / 2021 / 8:49;Слезы Сены;
The Soloists / Mehrnaz Abdollahinia, Feben Woldehawariat, Razahk Issaka, Celeste Jamneck, Yi Liu / France / 2021 / 7:57;Солистки;
