"#21xoxo / Sine Özbilge / Belgium / 2019 / 9'51""";#21xoxo
"10 000 Ugly Inkblots / Dmitry Geller / Russia / 2020 / 8'10""";10 тысяч безобразных пятен
"10 thousand kilometers / Sofia Silvestrova , Varvara Ryabova / Russia / 2021 / 6'35""";10 тысяч километров
"100,000 Acres Of Pine / Jennifer Alice Wright / Denmark / 2020 / 7'21""";100 тысяч акров сосны
"4:3 / Ross Hogg / United Kingdom / 2019 / 4'48""";4:3
"45'' / Lucija Oroz / Croatia / 2021 / 4'50""";45''
"5th Season / Lili Amirault & Valere Amirault / France / 2019 / 4'16""";Пятый сезон
"A Brainy Hen / Daria Sidlovskaia / Russia / 2020 / 5'15""";Курочка-умничка
"A Lil / Carl Roosens / Belgium / 2018 / 3'53""";
"A Little Sun in the Cold Waters of Beslan / Alexey Chamin / Russia / 2021 / 4'09""";Немного солнца в холодных водах Беслана
"A Lynx In the Town / Nina Bisiarina / France / 2019 / 6'48""";Рысь в городе
"A Stone in the Shoe / Eric Montchaud / France / 2020 / 11'28""";Камень в ботинке
"A Tiny Tale / Sylvain Cuvillier, Chloé Bourdic, Théophile Coursimault, Noémie Halberstam, Maÿlis Mosny, Zijing Ye / France / 2020 / 7'33""";Крошечная история
"A Warm Salty Wind / Maria Korzhova, Maria Laricheva, Sofia Petrova / Russia / 2020 / 2'03""";Теплый соленый ветер
"About Love / Girlin Bassovskaja / Estonia / 2020 / 10'00""";О любви
"Affairs of the Art / Joanna Quinn / United Kingdom / 2020 / 16'00""";Роман с искусством
"Alampa - Storm / Artemy Ortus / Russia / 2020 / 4'14""";
Alaska / Oxana Kuvaldina / Russia / 2020 / 7'06""";Аляска
"Alice / Aleksey Sukhov /  Russia / 2020 / 11'58""";Алиса
"All Those Sensations in My Belly / Marko Djeska / Croatia / 2020 / 13'19""";Все эти ощущения в моем животе
"Anna, Cat-And-Mouse / Varya Yakovleva / Russia / 2020 / 5'26""";Анна, кошки-мышки
"Anonymous / Steven Subotnick / United States / 2020 / 5'13""";Аноним
"Any Instant Whatever / Michelle Brand / United Kingdom / 2019 / 5'12""";В любой момент что угодно
"Apple Tree Man / Alla Vartanyan / Russia / 2020 / 10'43""";Яблоневый человек
"Arka / Natko Stipanicev / Croatia / 2020 / 14'40""";Арка
"At Dawn / Anae Bilodeau, Louis-Pierre Cossette / Canada / 2019 / 4'20""";На заре
"At The Worlds End / Daphne Ang, Andrea Papi / United States / 2021 / 5'25""";На краю света
"Audenie / Taokan Xu / Germany / 2020 / 7'18""";Одени
"Avant / Marcell Mostoha / Hungary / 2021 / 3'54""";Впереди
